PSNR, SSIM, LPIPS
Average PSNR: 23.9689
Average SSIM: 0.6458
Average LPIPS: 0.4536
28.6196, 0.8060, 0.5524
29.9104, 0.8128, 0.6361
29.5989, 0.7089, 0.6656
23.1457, 0.7133, 0.5201
26.6628, 0.6453, 0.2833
28.2176, 0.6585, 0.2907
27.1282, 0.6229, 0.3105
26.8935, 0.6566, 0.3071
27.5924, 0.6708, 0.2761
26.9395, 0.6307, 0.2930
30.3856, 0.5962, 0.4401
26.1926, 0.6442, 0.3564
21.2310, 0.5328, 0.4272
21.8507, 0.6679, 0.3041
20.8131, 0.5448, 0.4990
20.4243, 0.5585, 0.4825
24.3296, 0.6086, 0.5875
22.7883, 0.5839, 0.7303
17.7890, 0.7178, 0.5224
25.2653, 0.7150, 0.3627
23.8317, 0.5583, 0.5662
23.7536, 0.5584, 0.5667
32.5069, 0.6231, 0.5006
23.2495, 0.5844, 0.4067
18.3890, 0.5806, 0.3501
17.5552, 0.6331, 0.6016
16.3997, 0.5889, 0.5484
17.8744, 0.6374, 0.3748
16.7740, 0.5716, 0.4319
31.7656, 0.7582, 0.4071
22.6474, 0.6607, 0.5489
26.0254, 0.7083, 0.3827
25.2492, 0.6926, 0.4873
28.5961, 0.7656, 0.3364
26.1816, 0.6469, 0.4567
25.4655, 0.6920, 0.4377
21.9508, 0.6005, 0.4035
16.5634, 0.6462, 0.4150
19.7123, 0.6871, 0.3712
24.6877, 0.7474, 0.4777
24.4087, 0.5981, 0.5277
30.4511, 0.6927, 0.5124
19.2076, 0.5982, 0.6197
21.6953, 0.6289, 0.6097
21.0954, 0.5851, 0.2903
19.5133, 0.6200, 0.6072
24.2713, 0.6284, 0.4133
26.6768, 0.6284, 0.4447
22.6528, 0.6439, 0.3716
23.5168, 0.6283, 0.3628
